method,iteration,hit_rate,time
SVD,1,0.0618,19.32615042
SVD,2,0.0632,18.6425631
SVD,3,0.066,19.03568339
SVD,4,0.0622,18.82389975
SVD,5,0.065,18.79693937
SVD,6,0.0622,18.89071274
SVD,7,0.0668,18.55087996
SVD,8,0.06,18.75956631
SVD,9,0.0642,18.66276407
SVD,10,0.062,19.51165915
Funk-SVD,1,0.0152,1281.595167
Funk-SVD,2,0.013,1238.619892
Funk-SVD,3,0.0144,1293.245617
Funk-SVD,4,0.0132,1290.457128
Funk-SVD,5,0.0134,1282.5075
Funk-SVD,6,0.0136,1297.442292
Funk-SVD,7,0.0164,1222.97984
Funk-SVD,8,0.014,1284.907973
Funk-SVD,9,0.015,1262.476617
Funk-SVD,10,0.0144,1317.515334
CB,1,0.0032,603.8923466
CB,2,0.0038,588.2966387
CB,3,0.0042,597.1750798
CB,4,0.0044,596.0002022
CB,5,0.0032,594.5614617
CB,6,0.0034,596.7327008
CB,7,0.0038,577.4517868
CB,8,0.0038,588.2075076
CB,9,0.0026,586.1367319
CB,10,0.0048,601.796478
IBCF,1,0.08,833.753819
IBCF,2,0.08,842.75911
IBCF,3,0.0828,842.625689
IBCF,4,0.0818,866.614464
IBCF,5,0.0824,851.804233
IBCF,6,0.0814,835.904136
IBCF,7,0.0838,829.397957
IBCF,8,0.0754,855.66162
IBCF,9,0.0776,853.078146
IBCF,10,0.0752,849.782555
